"","Posterior Mean","Lower CI","Upper CI"
"Intercept_1",-0.331102909200657,-0.46644747396215,-0.184755685520128
"age_1",0.051180190280079,0.0463400790705087,0.0569949458722991
"incomeK_1",0.163499191247945,0.136711138385142,0.186285668710134
"incomeL_1",0.0300010887061311,0.00939581155850514,0.0467001910235239
"incomeM_1",0.11244441762003,0.0896543596591032,0.13448925791891
"incomeN_1",0.0299245271633841,0.0105263776141917,0.0468535815918022
"incomeO_1",0.0426872827603461,0.0262975554093458,0.064156549920414
"incomeP_1",0.0738484703276231,0.0555265497345094,0.0960484961473563
"incomeQ_1",0.0669382881404861,0.0387849677381596,0.0949750752232585
"incomeR_1",0.107141822574709,0.0851776044623652,0.126276660633136
"clust2_1",0.0614882120906467,-0.161305101038732,0.2390995541832
"clust3_1",-0.15416947790046,-0.318780801643648,0.00865356496546886
"clust4_1",-0.209385440071848,-0.394638005033959,-0.0551032541590247
"clust5_1",-0.27829000869434,-0.527629918643147,-0.0792043446903616
"clust2_comp1_1",-0.252487644177056,-0.326394031424703,-0.190519929879156
"clust3_comp1_1",-0.164895588431485,-0.19849040412559,-0.125241595942462
"clust4_comp1_1",-0.0865412964716865,-0.135292341149657,-0.0507552100878685
"clust5_comp1_1",-0.108633410823368,-0.199267021661523,-0.0100085399836767
"clust2_comp2_1",0.0831778674255259,0.0325291378859421,0.126857748598257
"clust3_comp2_1",0.224037266045959,0.194969531557429,0.256772495734456
"clust4_comp2_1",0.304700578897064,0.264871063864542,0.334054845214148
"clust5_comp2_1",0.233744118352215,0.173454704946806,0.313446272829948
"clust2_comp3_1",0.242428058435092,0.201052527284876,0.276665197406662
"clust3_comp3_1",0.288825104611994,0.262275095520658,0.320129415333405
"clust4_comp3_1",0.257046754134051,0.236796576030204,0.281103870296879
"clust5_comp3_1",0.342300115348417,0.285327658224422,0.398022407017074
"clust2_comp4_1",0.11739619128825,0.0670336750331243,0.151552332764203
"clust3_comp4_1",0.184463478998132,0.159959778212913,0.215500687569041
"clust4_comp4_1",0.238453108343394,0.217148800702332,0.261692389230329
"clust5_comp4_1",0.177387316028015,0.115259697657785,0.236869870262653
"clust2_comp5_1",0.333981786476825,0.26241864013669,0.42906009136071
"clust3_comp5_1",0.353100669415383,0.297479104291861,0.422398272901345
"clust4_comp5_1",0.55293231357308,0.503840020945918,0.615058957418748
"clust5_comp5_1",0.302359388175957,0.189595315057631,0.415463001047115
"clust2_comp6_1",-0.287660571765454,-0.36052581816397,-0.213537157427954
"clust3_comp6_1",-0.220941807426976,-0.260243042076168,-0.167834528223829
"clust4_comp6_1",-0.0630223395914759,-0.106312478954898,-0.0182667433701482
"clust5_comp6_1",-0.315111473513794,-0.426069401899979,-0.209490597590677
"clust2_comp7_1",-0.185650477133692,-0.25124832638987,-0.134756276792191
"clust3_comp7_1",-0.0366517414216899,-0.0752736660745861,0.00279967830956953
"clust4_comp7_1",0.0530310530472679,0.0127978675853206,0.095210008221955
"clust5_comp7_1",-0.0206615927735406,-0.101253410224616,0.0671601031282906
"clust2_comp8_1",0.0336401229745275,-0.00497637355502041,0.0754301617536184
"clust3_comp8_1",0.0680015568862954,0.0424506902526666,0.0974141165407221
"clust4_comp8_1",0.0690390714215911,0.0416952634020786,0.0917897274882794
"clust5_comp8_1",0.0986253290453636,0.0454825860375225,0.157357190253049
"clust2_comp9_1",-0.648193299928947,-0.702648406036938,-0.591979978572706
"clust3_comp9_1",-0.655543409691019,-0.697220681595023,-0.621415184844384
"clust4_comp9_1",-0.604125801295672,-0.630306235179574,-0.575033297061365
"clust5_comp9_1",-0.695807689062447,-0.779272670018427,-0.61546176226838
"adstock_1",-0.663412814810612,-0.66935055373978,-0.658338340267007
"pur_eng_1",-0.300180230025232,-0.31415333191813,-0.287531614012937
"dyn_eng_1",1.61622625114142,1.60916580118486,1.62304825544805
"Intercept_2",-3.86064591053374,-3.9817006457707,-3.7370871474404
"age_2",0.0868697505371679,0.0670298376803402,0.105102361258601
