"","Posterior Mean","Lower CI","Upper CI"
"Intercept_1",-0.690202101883358,-0.844098975781156,-0.524666462822964
"age_1",0.0530084635054203,0.0476466871919722,0.0581395379147575
"incomeK_1",0.131508175537889,0.111930206341712,0.157736361904112
"incomeL_1",0.0153891995919211,-0.00954665660553567,0.0351659005370546
"incomeM_1",0.0905929945062665,0.0691561839446838,0.110413727775807
"incomeN_1",0.0217121926773229,0.000632217576168953,0.0385618417189368
"incomeO_1",0.0173071518782409,-0.00559830149314157,0.0353767092118929
"incomeP_1",0.0590597756647872,0.0369581689523939,0.076400276020116
"incomeQ_1",0.0451350663374468,0.0184234213172668,0.0723601444196732
"incomeR_1",0.0834642366296271,0.058471979075495,0.106427522181214
"clust2_1",0.337280219724951,0.0323674052720219,0.705713902979412
"clust3_1",-0.0683885417806169,-0.297291538700368,0.156373867522356
"clust4_1",-0.0945175244223212,-0.36882324330391,0.17771261732878
"clust5_1",-0.211277465759817,-0.437767097577103,-0.00780638712640091
"camp_no4_1",0.393507036036492,0.373773761921605,0.416652330509736
"camp_no5_1",0.810934922405007,0.767656069060679,0.860425716757455
"camp_no8_1",1.14895814564224,1.11286292738577,1.18483068287334
"camp_no9_1",0.437387566995468,0.396378808466394,0.475816754954087
"camp_no10_1",0.184911680189367,0.15474887654095,0.219670242736779
"camp_no11_1",-0.190911351791593,-0.231646785846972,-0.151263096850658
"camp_no12_1",-0.0163155076059942,-0.0516353699212564,0.0241100850271299
"camp_no14_1",-0.213795624059763,-0.246652092643855,-0.185365962458135
"camp_no15_1",0.245664483920887,0.190086924982919,0.300156106725589
"camp_no23_1",0.273029875867947,0.239629630479516,0.316341103214479
"camp_no25_1",-0.00595091841186255,-0.043188854888199,0.0361893859968042
"camp_no26_1",0.922492355772939,0.887954283265168,0.960197250952381
"camp_no28_1",-0.219789793554614,-0.254745168000266,-0.181652659780524
"camp_no31_1",-0.173735885958986,-0.217252308370361,-0.126848043574937
"camp_no34_1",0.330170327429595,0.296584993330884,0.367554153483838
"camp_no35_1",0.733471437594766,0.69507058766215,0.773276567389506
"camp_no36_1",0.387655215379107,0.350596276019218,0.435700068440259
"camp_no43_1",0.300180093508848,0.267505506712995,0.332215936848205
"camp_no44_1",-0.0115436165609578,-0.0438897595691992,0.0224870838556821
"camp_no45_1",-0.133410621953206,-0.163680393337895,-0.0941828829620654
"camp_no46_1",0.688878251485588,0.651172585793528,0.73107239836861
"camp_no50_1",-0.25660976777382,-0.29226187373305,-0.211011411446725
"camp_no51_1",0.604120755982821,0.560778759578415,0.663028183494933
"camp_no52_1",0.733942112500439,0.701783135700494,0.765210710645986
"clust2_comp1_1",-0.209923185114364,-0.282349581009884,-0.143461375466842
"clust3_comp1_1",-0.0529554461800947,-0.121672689417886,0.00198733788397793
"clust4_comp1_1",0.0375329779408931,-0.0206824130015841,0.086124310441533
"clust5_comp1_1",-0.00960217658463707,-0.10603117007162,0.078668128961842
"clust2_comp2_1",-0.1846777909702,-0.25186206993458,-0.121694825317942
"clust3_comp2_1",-0.0190473847949323,-0.069708776616197,0.028822871000333
"clust4_comp2_1",0.0410925201694458,-0.00440279812966006,0.0821627363977767
"clust5_comp2_1",-0.0191657477663837,-0.110944868512704,0.0648502816774759
"clust2_comp3_1",0.0567832009589034,0.0105120967004071,0.102135802904046
"clust3_comp3_1",0.0842091443451298,0.0469598711057153,0.111442332823431
"clust4_comp3_1",0.0519571471973039,0.0155591680785303,0.0816200154616829
"clust5_comp3_1",0.135820504227377,0.0861406719027829,0.212023805738306
"clust2_comp4_1",-0.0565424765100401,-0.111829267857376,0.000513490384735434
"clust3_comp4_1",0.0582646014219176,0.020402500698967,0.0950727375843941
"clust4_comp4_1",0.11704848974933,0.0800550893282563,0.149696480118452
"clust5_comp4_1",0.0487622078472073,-0.0178580735806658,0.114209800076763
"clust2_comp5_1",-0.188872818504522,-0.271977496244318,-0.0823398603996524
"clust3_comp5_1",-0.095301213860431,-0.170932649145319,-0.0177878067602828
"clust4_comp5_1",0.0770092132972635,0.00703774312975675,0.138755600513834
"clust5_comp5_1",-0.1493503418518,-0.290000793648399,-0.0349373709232871
"clust2_comp6_1",-0.223098175301979,-0.315261797346061,-0.126427688240879
"clust3_comp6_1",-0.0679426443344684,-0.134271864731704,-0.00218205787986171
"clust4_comp6_1",0.0721583339364761,0.0114193026192401,0.121916031617528
"clust5_comp6_1",-0.172063524319732,-0.307688828569076,-0.0669742574415804
"clust2_comp7_1",-0.259432121309623,-0.323373793198241,-0.185471396483564
"clust3_comp7_1",-0.0495214261380549,-0.109644417576981,0.00667836583664398
"clust4_comp7_1",0.0271246624387815,-0.0240904842608207,0.0815633042878434
"clust5_comp7_1",-0.0552660005812915,-0.15159907447664,0.0364876841022186
"clust2_comp8_1",-0.124350696578488,-0.177786055546997,-0.0728625170859826
"clust3_comp8_1",-0.0651976851430117,-0.102683340677493,-0.0320061976963148
"clust4_comp8_1",-0.0641665805226673,-0.10104773410237,-0.0270101739786039
"clust5_comp8_1",-0.0379783039981819,-0.101465930249421,0.0328639928637135
"clust2_comp9_1",-0.0783030607448678,-0.146843666917572,-0.0106875513079392
"clust3_comp9_1",-0.0581686755027225,-0.109813226626609,-0.0133873565685143
"clust4_comp9_1",-0.0307056747296575,-0.0845338280032635,0.0236789378542846
"clust5_comp9_1",-0.107766152265635,-0.18909416017628,-0.0296355890729583
"adstock_1",-0.583060444048066,-0.591827885136063,-0.573185508294197
"pur_eng_1",-0.311791511183493,-0.324177781285119,-0.299874504401486
"dyn_eng_1",1.6748551474287,1.66836574389667,1.68022586802672
"Intercept_2",-4.37345603037599,-4.51932437053953,-4.20627398050403
"age_2",0.0872405766359071,0.0699911965709898,0.107974835309427
"incomeK_2",-0.109167969106228,-0.223765565820472,-0.00790460174593793
"incomeL_2",0.0503560781444288,-0.0352176651224007,0.126800091410407
"incomeM_2",0.0787834676017613,-0.000794916618125995,0.146263640441213
"incomeN_2",0.110057662341523,0.0271960095547011,0.195136231751383
"incomeO_2",-0.197279858765615,-0.279791562342652,-0.12098704605039
"incomeP_2",0.0926509783543641,-0.0295243521790607,0.188191454844391
"incomeQ_2",-0.128751753286344,-0.226001205167282,-0.0512681732241828
"incomeR_2",0.0294915287343102,-0.0620277491843109,0.104103193637736
"clust2_2",-0.548894517425851,-1.13980403663782,0.122052116923866
"clust3_2",0.121871800579999,-0.333130834459388,0.54393891078582
"clust4_2",0.204922583059335,-0.237168941547363,0.581197554294135
"clust5_2",0.404678432125051,-0.360389438705376,1.15278319577494
"camp_no4_2",1.29490555192798,1.20323466425968,1.38079438287661
"camp_no5_2",0.705678753819231,0.535560998576569,0.849477800551988
"camp_no8_2",-0.156069207202379,-0.307019764179202,-0.0109056206585111
"camp_no9_2",0.286855514796093,0.121667069393934,0.456780305447652
"camp_no10_2",0.685060728597703,0.489312674070335,0.828758670507366
"camp_no11_2",-0.156465906511353,-0.334530885597435,0.036226252069265
"camp_no12_2",0.45325772823482,0.238652753024547,0.639830496580172
