"","Posterior Mean","Lower CI","Upper CI"
"Intercept_1",-0.806664917083984,-0.840375309568845,-0.775753636193531
"age_1",0.0936624586898799,0.0885494081153258,0.098342834354738
"incomeK_1",-0.0048054509176899,-0.024886310112287,0.0127192669031927
"incomeL_1",0.0137181083448957,-0.00724919502598585,0.0356361316331002
"incomeM_1",0.021727461581319,0.00601988736690139,0.0371580675473372
"incomeN_1",0.0151459768180053,0.00152348652108363,0.0288150872253127
"incomeO_1",0.0436649538602576,0.0262784324123958,0.0577035014363436
"incomeP_1",0.0701769024715563,0.0545381248654765,0.0880123971840341
"incomeQ_1",0.0726904279901416,0.0537640750283003,0.0980915246948578
"incomeR_1",0.0983641397396548,0.074341531320618,0.118269074939783
"comp1_1",-0.181910418195849,-0.198227907705016,-0.159350642188587
"comp2_1",0.0378610392189345,0.0262432017727276,0.0550912375921628
"comp3_1",0.0394691857105072,0.0266027742720154,0.0516525906831939
"comp4_1",0.178064814683762,0.165876412013592,0.190012245969395
"comp5_1",0.451355694952461,0.431973297115432,0.474281273544506
"comp6_1",-0.0332904965601642,-0.0537332261537435,-0.0117221274888449
"comp7_1",0.0248132434205763,0.00868655644596681,0.0432482132763403
"comp8_1",0.102509535104929,0.0914557246161789,0.117427283923655
"comp9_1",-0.424695378606245,-0.441379442106223,-0.409850389602951
"Intercept_2",-4.83545578203104,-5.01100002504892,-4.67601945922539
"age_2",0.0498726382212853,0.0317168694785891,0.0720538689791746
"incomeK_2",-0.0248339362494705,-0.0960738550552256,0.0703144777090818
"incomeL_2",-0.020929032155414,-0.111698483722363,0.0469123790188925
"incomeM_2",0.000292701895644312,-0.0809531104435213,0.0764781254604344
"incomeN_2",-0.0066923000309892,-0.0903715623718614,0.0687307285486128
"incomeO_2",0.00391115258024267,-0.0754867208278356,0.075840283270386
"incomeP_2",-0.0148321420843347,-0.0991745042291858,0.0651438122938204
"incomeQ_2",0.015143564080247,-0.0771338603142084,0.108047848716463
"incomeR_2",-0.0028961762608507,-0.117272492195601,0.0976522829182441
"comp1_2",0.51506592206686,0.442787045803958,0.599046762761921
"comp2_2",0.565049112077264,0.492631080593041,0.629672740698395
"comp3_2",-0.086495430510247,-0.127632933023311,-0.0314660293117704
"comp4_2",0.612118294160174,0.560498569663226,0.668101022829574
"comp5_2",1.30627462353154,1.19590222909869,1.41264972310461
"comp6_2",1.43388796266306,1.33328390348115,1.55571841655984
"comp7_2",0.736667180012094,0.653261366516703,0.813052569644618
"comp8_2",0.047131587715191,0.00892364152377242,0.0970545654516947
"rho_eta",2,2,2
"rho_zeta",8,8,8
