,V1,2.50%,97.50%
30% off,0.009998933,-0.037162678,0.0610251
40% off,0.02328629,-0.022378103,0.06307755
50% off,0.15092839,0.08889397,0.21581074
Product,0.110619096,0.049311546,0.166854405
Clearance,-0.020392899,-0.087196138,0.046044786
Mystery,-0.029000612,-0.078900437,0.020924811
Free Gift,-0.015537831,-0.066788089,0.031371703
Free Shipping,-0.004187426,-0.056999493,0.051422934
,,,
,,,
,,,
,,,
Component,Mean Estimate,Lower CI,Upper CI
30% off,0.010,-0.037,0.061
40% off,0.023,-0.022,0.063
50% off,0.151,0.089,0.216
Product,0.111,0.049,0.167
Clearance,-0.020,-0.087,0.046
Mystery,-0.029,-0.079,0.021
Free Gift,-0.016,-0.067,0.031
Free Shipping,-0.004,-0.057,0.051
