"","x"
"Intercept_1",-0.85952276358901
"age_1",0.0572504279762753
"incomeK_1",0.0597849604007216
"incomeL_1",0.00990061907054117
"incomeM_1",0.10122323735955
"incomeN_1",0.0600332909989882
"incomeO_1",-0.0152027502489518
"incomeP_1",0.0323547919819948
"incomeQ_1",0.0796311347157691
"incomeR_1",0.000841873864230422
"camp_no4_1",0.525356293750471
"camp_no5_1",0.389262278166213
"camp_no8_1",0.706606795820659
"camp_no9_1",-0.454971593732764
"camp_no10_1",-0.723472005281151
"camp_no11_1",-1.09048033559356
"camp_no12_1",-0.546593248296407
"camp_no14_1",-0.603989935430711
"camp_no15_1",-0.588647934111229
"camp_no23_1",-0.70283370557495
"camp_no25_1",-0.697106449562646
"camp_no26_1",-0.0874467587059446
"camp_no28_1",-1.02312336549717
"camp_no31_1",-1.30442529064093
"camp_no34_1",-0.682379265346207
"camp_no35_1",-0.147862707019533
"camp_no36_1",-0.440580296488196
"camp_no43_1",-0.56566251354773
"camp_no44_1",-0.984462839351448
"camp_no45_1",-0.988904904674205
"camp_no46_1",0.0148791751920086
"camp_no50_1",-0.821322500136471
"camp_no51_1",-0.131123382279927
"camp_no52_1",0.0143566221663418
"adstock_1",-0.690327567976161
"pur_eng_1",-0.316060286857287
"dyn_eng_1",1.65150425915738
"Intercept_2",-4.22448301946057
"age_2",0.0866677735136361
"incomeK_2",-0.308851350686682
"incomeL_2",0.0154965680494295
"incomeM_2",0.0983986689803556
"incomeN_2",-0.174927973039929
"incomeO_2",-0.0589651118229588
"incomeP_2",0.0065133979305297
"incomeQ_2",0.0825839461262872
"incomeR_2",0.031847857502262
"camp_no4_2",1.19950605964983
"camp_no5_2",0.895980558439043
"camp_no8_2",0.0976532142383716
"camp_no9_2",0.703540666035217
"camp_no10_2",1.21170573389041
"camp_no11_2",0.330568490111681
"camp_no12_2",0.716343742413035
"camp_no14_2",0.660624482853464
"camp_no15_2",1.31382081591938
"camp_no23_2",0.716712477212366
"camp_no25_2",1.07304740245499
"camp_no26_2",0.937127215142413
"camp_no28_2",1.39249559029233
"camp_no31_2",0.179497115598345
"camp_no34_2",0.88799441115072
"camp_no35_2",0.618585719513282
"camp_no36_2",0.586861564674353
"camp_no43_2",-1.24074727569676
"camp_no44_2",1.18457849735685
"camp_no45_2",1.24837679097406
"camp_no46_2",0.820277892848527
"camp_no50_2",0.456446729251351
"camp_no51_2",-2.23500543590554
"camp_no52_2",0.288200471031824
"adstock_2",0.344702373268563
"pur_eng_2",0.521158262697784
"dyn_eng_2",-0.820447004979581
"clust9_1",-0.0049245533980959
"clust9_comp1_1",0.0447766923438084
"clust9_comp2_1",0.0347907165817474
"clust9_comp3_1",-0.00329405114784355
"clust9_comp4_1",0.0269152606087746
"clust9_comp5_1",0.0588245873256317
"clust9_comp6_1",0.0481311183909594
"clust9_comp7_1",0.0414280972090102
"clust9_comp8_1",0.00647617203218366
"clust9_comp9_1",0.0037637817105063
"clust9_2",0.350930930237461
"clust9_comp1_2",-0.070321167121517
"clust9_comp2_2",-0.0402714166919336
"clust9_comp3_2",-0.00609754080569283
"clust9_comp4_2",-0.0427387550335403
"clust9_comp5_2",-0.140144343350554
"clust9_comp6_2",-0.0723524294703543
"clust9_comp7_2",-0.115260689169155
"clust9_comp8_2",-0.058414885297183
"clust9_comp9_2",-0.0166955077561465
